	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.276240363636	0.485467090909	0.489122363636	0.540807727273	0.323276454545	0.369455636364	0.385152727273	0.190534545455
PC.635	0.276240363636	0.0	0.342230909091	0.363043454545	0.411538636364	0.254824090909	0.307190545455	0.246241454545	0.262105454545
PC.356	0.485467090909	0.342230909091	0.0	0.157412181818	0.143872818182	0.359715363636	0.207630727273	0.316270363636	0.476441090909
PC.481	0.489122363636	0.363043454545	0.157412181818	0.0	0.162095	0.349991181818	0.214630727273	0.319515454545	0.467294545455
PC.354	0.540807727273	0.411538636364	0.143872818182	0.162095	0.0	0.401613454545	0.248297363636	0.381407363636	0.529389363636
PC.593	0.323276454545	0.254824090909	0.359715363636	0.349991181818	0.401613454545	0.0	0.332837363636	0.228383363636	0.352932272727
PC.355	0.369455636364	0.307190545455	0.207630727273	0.214630727273	0.248297363636	0.332837363636	0.0	0.307918363636	0.372899636364
PC.607	0.385152727273	0.246241454545	0.316270363636	0.319515454545	0.381407363636	0.228383363636	0.307918363636	0.0	0.385554181818
PC.634	0.190534545455	0.262105454545	0.476441090909	0.467294545455	0.529389363636	0.352932272727	0.372899636364	0.385554181818	0.0
