	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.269058363636	0.431654454545	0.458060363636	0.529808363636	0.317767909091	0.363117727273	0.375107909091	0.213453
PC.635	0.269058363636	0.0	0.335001545455	0.350595818182	0.428407454545	0.272488272727	0.318769909091	0.232373727273	0.211151363636
PC.356	0.431654454545	0.335001545455	0.0	0.168367363636	0.169720636364	0.321518181818	0.175449636364	0.292391090909	0.420759818182
PC.481	0.458060363636	0.350595818182	0.168367363636	0.0	0.188203818182	0.327798272727	0.197658636364	0.289901363636	0.422048818182
PC.354	0.529808363636	0.428407454545	0.169720636364	0.188203818182	0.0	0.400533181818	0.244154818182	0.371074090909	0.512579909091
PC.593	0.317767909091	0.272488272727	0.321518181818	0.327798272727	0.400533181818	0.0	0.327692363636	0.233411818182	0.332382727273
PC.355	0.363117727273	0.318769909091	0.175449636364	0.197658636364	0.244154818182	0.327692363636	0.0	0.309957090909	0.359360727273
PC.607	0.375107909091	0.232373727273	0.292391090909	0.289901363636	0.371074090909	0.233411818182	0.309957090909	0.0	0.349895818182
PC.634	0.213453	0.211151363636	0.420759818182	0.422048818182	0.512579909091	0.332382727273	0.359360727273	0.349895818182	0.0
