	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.292378636364	0.465830181818	0.457229363636	0.547391636364	0.323210272727	0.397573818182	0.382653454545	0.200424
PC.635	0.292378636364	0.0	0.327115	0.315191636364	0.408967181818	0.267885454545	0.300646818182	0.214973363636	0.234018454545
PC.356	0.465830181818	0.327115	0.0	0.163172454545	0.165498545455	0.341445545455	0.178918727273	0.316208181818	0.446540909091
PC.481	0.457229363636	0.315191636364	0.163172454545	0.0	0.203609181818	0.310012363636	0.170964090909	0.287273181818	0.415895909091
PC.354	0.547391636364	0.408967181818	0.165498545455	0.203609181818	0.0	0.405982818182	0.224995272727	0.393876181818	0.515336727273
PC.593	0.323210272727	0.267885454545	0.341445545455	0.310012363636	0.405982818182	0.0	0.331587909091	0.225176272727	0.330772636364
PC.355	0.397573818182	0.300646818182	0.178918727273	0.170964090909	0.224995272727	0.331587909091	0.0	0.330785818182	0.376014909091
PC.607	0.382653454545	0.214973363636	0.316208181818	0.287273181818	0.393876181818	0.225176272727	0.330785818182	0.0	0.34108
PC.634	0.200424	0.234018454545	0.446540909091	0.415895909091	0.515336727273	0.330772636364	0.376014909091	0.34108	0.0
