	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.267837545455	0.445762272727	0.466754272727	0.541107727273	0.316331818182	0.378115363636	0.364287909091	0.204626727273
PC.635	0.267837545455	0.0	0.351172545455	0.365856	0.447505272727	0.289247909091	0.327714363636	0.241292363636	0.248176272727
PC.356	0.445762272727	0.351172545455	0.0	0.164554909091	0.157642181818	0.350381909091	0.170485636364	0.311944909091	0.442171
PC.481	0.466754272727	0.365856	0.164554909091	0.0	0.187839818182	0.360356090909	0.188416727273	0.312508	0.443733363636
PC.354	0.541107727273	0.447505272727	0.157642181818	0.187839818182	0.0	0.437362090909	0.234083090909	0.394378545455	0.525387181818
PC.593	0.316331818182	0.289247909091	0.350381909091	0.360356090909	0.437362090909	0.0	0.362381545455	0.230503909091	0.344384
PC.355	0.378115363636	0.327714363636	0.170485636364	0.188416727273	0.234083090909	0.362381545455	0.0	0.327148727273	0.372889909091
PC.607	0.364287909091	0.241292363636	0.311944909091	0.312508	0.394378545455	0.230503909091	0.327148727273	0.0	0.364701909091
PC.634	0.204626727273	0.248176272727	0.442171	0.443733363636	0.525387181818	0.344384	0.372889909091	0.364701909091	0.0
