	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.271627454545	0.466471363636	0.467893545455	0.540954181818	0.333886	0.378505636364	0.380817818182	0.202728
PC.635	0.271627454545	0.0	0.340403181818	0.339067727273	0.425035818182	0.263860545455	0.294782545455	0.223504	0.236912181818
PC.356	0.466471363636	0.340403181818	0.0	0.143731272727	0.145111909091	0.311766818182	0.190548272727	0.312269181818	0.453261
PC.481	0.467893545455	0.339067727273	0.143731272727	0.0	0.179423181818	0.309774454545	0.193687909091	0.307874090909	0.440169545455
PC.354	0.540954181818	0.425035818182	0.145111909091	0.179423181818	0.0	0.377735090909	0.239936545455	0.387217818182	0.530912909091
PC.593	0.333886	0.263860545455	0.311766818182	0.309774454545	0.377735090909	0.0	0.305417818182	0.218369454545	0.356614909091
PC.355	0.378505636364	0.294782545455	0.190548272727	0.193687909091	0.239936545455	0.305417818182	0.0	0.308220727273	0.385800727273
PC.607	0.380817818182	0.223504	0.312269181818	0.307874090909	0.387217818182	0.218369454545	0.308220727273	0.0	0.372714
PC.634	0.202728	0.236912181818	0.453261	0.440169545455	0.530912909091	0.356614909091	0.385800727273	0.372714	0.0
