	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.284636363636	0.494940272727	0.472385181818	0.526885545455	0.352051818182	0.372845090909	0.399720363636	0.228360181818
PC.635	0.284636363636	0.0	0.370144272727	0.354778454545	0.412054090909	0.266289272727	0.317982545455	0.249912545455	0.259560545455
PC.356	0.494940272727	0.370144272727	0.0	0.141353818182	0.116133090909	0.345889181818	0.214925909091	0.329333363636	0.477707363636
PC.481	0.472385181818	0.354778454545	0.141353818182	0.0	0.160847818182	0.329601181818	0.195554272727	0.320933363636	0.433245
PC.354	0.526885545455	0.412054090909	0.116133090909	0.160847818182	0.0	0.375219363636	0.235069	0.373423909091	0.503891363636
PC.593	0.352051818182	0.266289272727	0.345889181818	0.329601181818	0.375219363636	0.0	0.323497636364	0.211924909091	0.361414
PC.355	0.372845090909	0.317982545455	0.214925909091	0.195554272727	0.235069	0.323497636364	0.0	0.314521090909	0.362025090909
PC.607	0.399720363636	0.249912545455	0.329333363636	0.320933363636	0.373423909091	0.211924909091	0.314521090909	0.0	0.384546909091
PC.634	0.228360181818	0.259560545455	0.477707363636	0.433245	0.503891363636	0.361414	0.362025090909	0.384546909091	0.0
