	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.29573	0.450806818182	0.454537818182	0.527353545455	0.317560272727	0.386791454545	0.360236727273	0.188411454545
PC.635	0.29573	0.0	0.317509727273	0.321144727273	0.387417181818	0.289318090909	0.298222	0.205048	0.260773818182
PC.356	0.450806818182	0.317509727273	0.0	0.150395727273	0.150889818182	0.364270181818	0.178293181818	0.334534272727	0.468857727273
PC.481	0.454537818182	0.321144727273	0.150395727273	0.0	0.169727363636	0.355255	0.162431818182	0.330422727273	0.45595
PC.354	0.527353545455	0.387417181818	0.150889818182	0.169727363636	0.0	0.425109818182	0.220183181818	0.401654090909	0.531690454545
PC.593	0.317560272727	0.289318090909	0.364270181818	0.355255	0.425109818182	0.0	0.350906636364	0.240675363636	0.347947545455
PC.355	0.386791454545	0.298222	0.178293181818	0.162431818182	0.220183181818	0.350906636364	0.0	0.341257454545	0.400234181818
PC.607	0.360236727273	0.205048	0.334534272727	0.330422727273	0.401654090909	0.240675363636	0.341257454545	0.0	0.371174727273
PC.634	0.188411454545	0.260773818182	0.468857727273	0.45595	0.531690454545	0.347947545455	0.400234181818	0.371174727273	0.0
