	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.303302636364	0.468501272727	0.484391	0.540368090909	0.323407181818	0.382923909091	0.398811363636	0.190396454545
PC.635	0.303302636364	0.0	0.314022090909	0.320457636364	0.383290181818	0.269772909091	0.287081272727	0.212300363636	0.271508727273
PC.356	0.468501272727	0.314022090909	0.0	0.169464454545	0.149983545455	0.329631363636	0.193426272727	0.317658454545	0.451833
PC.481	0.484391	0.320457636364	0.169464454545	0.0	0.173297090909	0.335452909091	0.204356545455	0.319671818182	0.442313272727
PC.354	0.540368090909	0.383290181818	0.149983545455	0.173297090909	0.0	0.396956545455	0.244106727273	0.393967272727	0.517119818182
PC.593	0.323407181818	0.269772909091	0.329631363636	0.335452909091	0.396956545455	0.0	0.329824545455	0.249647454545	0.333295818182
PC.355	0.382923909091	0.287081272727	0.193426272727	0.204356545455	0.244106727273	0.329824545455	0.0	0.335464	0.369344909091
PC.607	0.398811363636	0.212300363636	0.317658454545	0.319671818182	0.393967272727	0.249647454545	0.335464	0.0	0.376908909091
PC.634	0.190396454545	0.271508727273	0.451833	0.442313272727	0.517119818182	0.333295818182	0.369344909091	0.376908909091	0.0
