	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.266701454545	0.468472454545	0.473388909091	0.534532090909	0.311527727273	0.372273636364	0.369772818182	0.238160090909
PC.635	0.266701454545	0.0	0.353556272727	0.348298	0.421925	0.265923545455	0.316735454545	0.230464636364	0.254987363636
PC.356	0.468472454545	0.353556272727	0.0	0.149271181818	0.142780181818	0.344697818182	0.202782818182	0.321679272727	0.472549454545
PC.481	0.473388909091	0.348298	0.149271181818	0.0	0.181582636364	0.324128818182	0.189769454545	0.299193909091	0.441763545455
PC.354	0.534532090909	0.421925	0.142780181818	0.181582636364	0.0	0.393917818182	0.236371545455	0.386805818182	0.520512363636
PC.593	0.311527727273	0.265923545455	0.344697818182	0.324128818182	0.393917818182	0.0	0.327831	0.222436181818	0.35033
PC.355	0.372273636364	0.316735454545	0.202782818182	0.189769454545	0.236371545455	0.327831	0.0	0.320518454545	0.377362454545
PC.607	0.369772818182	0.230464636364	0.321679272727	0.299193909091	0.386805818182	0.222436181818	0.320518454545	0.0	0.380819272727
PC.634	0.238160090909	0.254987363636	0.472549454545	0.441763545455	0.520512363636	0.35033	0.377362454545	0.380819272727	0.0
