pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.273975945829	0.0871804679814	0.0431281890919	-0.0617655791936	0.00228929927228	0.0019126834896	-0.0481230804979	0.013029498342	-2.65240723597e-09
PC.635	-0.0798591424469	-0.0579143234288	-0.102392868843	-0.0228795722018	0.0567112505745	-0.0560678779041	0.0168571553947	0.00810687771967	-2.65240723597e-09
PC.356	0.176964964308	0.018092830436	0.0115518737856	-0.0426932139545	0.0218885299341	0.0483173652648	0.0335280907573	0.0414439232925	-2.65240723597e-09
PC.481	0.177741257783	0.0139674111202	-0.0105599092981	0.0789750464145	-0.0322775907086	-0.0258373727475	-0.0366121334637	0.0339647350441	-2.65240723597e-09
PC.354	0.254386875103	0.0510926285264	0.0161321715172	-0.000221293288755	0.0600422707187	0.00961115408302	-0.0258743888671	-0.042844560407	-2.65240723597e-09
PC.593	-0.0705384485566	-0.107453356439	0.15127555373	0.0232192721761	0.00650718078572	-0.0244430477377	0.0251088254325	-0.00512152825975	-2.65240723597e-09
PC.355	0.0830994098658	0.106929061057	-0.0141735963046	-0.0404878343323	-0.0799776634878	-0.0270857151883	0.0305809402626	-0.0215910645207	-2.65240723597e-09
PC.607	-0.0230061219078	-0.19512444016	-0.0542422332142	-0.0182635720074	-0.0440135407906	0.0369083909451	-0.0195759107885	-0.0154586198718	-2.65240723597e-09
PC.634	-0.244812848319	0.0832297209071	-0.0407191804655	0.0841167463879	0.00883026370176	0.0366844197951	0.0241105017701	-0.011529261339	-2.65240723597e-09


eigvals	0.281405334053	0.0820681801306	0.0405350002249	0.0219858634566	0.0168013670993	0.0102808517181	0.00826423935119	0.00580664456858	6.33173773088e-17
% variation explained	60.2390777512	17.5679380792	8.67713129323	4.70640737016	3.5965873299	2.20077216403	1.76908571583	1.24300029642	1.35540444802e-14
