pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.264181498867	0.0982443421803	0.0733704814136	-0.0501690752837	0.02714093151	-0.0223786069781	0.000214376890262	0.0300081653366	2.01796395353e-09
PC.635	-0.102628421497	-0.0331503031337	-0.10524914654	-0.045432851347	-0.0206000757728	0.065208682803	0.00447538089043	0.0150074717847	2.01796395353e-09
PC.356	0.180837207258	0.0209087773538	-0.00159594379373	-0.0614456566644	0.0107837889413	-0.0183700033286	0.049984953985	-0.0368308827365	2.01796395353e-09
PC.481	0.153478555728	-0.00631998036067	-0.00369313281061	0.0722152716564	0.0435438265251	0.00903076888466	0.0386348531498	0.0360584836438	2.01796395353e-09
PC.354	0.264688230085	0.0426878703064	0.0102358298238	-0.0103434913296	-0.0752578037094	-0.023856558373	-0.0272649753916	0.0242609654843	2.01796395353e-09
PC.593	-0.071423544908	-0.126425617345	0.130964514131	0.0194805447215	-0.0311038936559	0.033645063165	0.0027475567306	-0.0161111410544	2.01796395353e-09
PC.355	0.109725288438	0.101074963941	0.00638469924031	0.0157598354037	0.0519708671269	0.0326861966449	-0.0504886992169	-0.0265379785287	2.01796395353e-09
PC.607	-0.0364750834795	-0.174050176916	-0.0529440255315	-0.00740197981733	0.0349423472432	-0.0502679431837	-0.0292760987872	-0.00059257158568	2.01796395353e-09
PC.634	-0.234020732757	0.0770301239733	-0.0574732759329	0.0673374026604	-0.0414199882085	-0.0256975996341	0.0109726517496	-0.0252625123442	2.01796395353e-09


eigvals	0.279879175751	0.0754769559023	0.0398802845007	0.0188956612294	0.0154420915212	0.0111287320149	0.00828874824068	0.0059734156498	-3.66496066596e-17
% variation explained	61.5166300445	16.5896157178	8.76557071858	4.15321146412	3.39412687161	2.44606297838	1.82184279229	1.31293941268	8.05547711118e-15
