	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.274219589041	0.453158767123	0.461448835616	0.526508972603	0.309812123288	0.364504178082	0.365960684932	0.208375890411
PC.635	0.274219589041	0.0	0.337299726027	0.341742260274	0.411802945205	0.263622534247	0.300273219178	0.225764109589	0.242478356164
PC.356	0.453158767123	0.337299726027	0.0	0.154292260274	0.141096643836	0.337608013699	0.190264589041	0.326707260274	0.445013287671
PC.481	0.461448835616	0.341742260274	0.154292260274	0.0	0.167177671233	0.333753972603	0.193919041096	0.320769383562	0.43324239726
PC.354	0.526508972603	0.411802945205	0.141096643836	0.167177671233	0.0	0.398067808219	0.237658630137	0.397182260274	0.508364726027
PC.593	0.309812123288	0.263622534247	0.337608013699	0.333753972603	0.398067808219	0.0	0.326644931507	0.220770479452	0.336445547945
PC.355	0.364504178082	0.300273219178	0.190264589041	0.193919041096	0.237658630137	0.326644931507	0.0	0.32589609589	0.35853239726
PC.607	0.365960684932	0.225764109589	0.326707260274	0.320769383562	0.397182260274	0.220770479452	0.32589609589	0.0	0.360515753425
PC.634	0.208375890411	0.242478356164	0.445013287671	0.43324239726	0.508364726027	0.336445547945	0.35853239726	0.360515753425	0.0
