	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.602068594521	0.745813853526	0.669767446745	0.747074972881	0.739488664119	0.699815934726	0.727777055922	0.581124366673
PC.635	0.602068594521	0.0	0.721337238303	0.651446384139	0.714827318262	0.753218448959	0.741300602012	0.669322342553	0.55275125175
PC.356	0.745813853526	0.721337238303	0.0	0.702463682175	0.608705744295	0.7166633259	0.613232987959	0.747038102466	0.787671876753
PC.481	0.669767446745	0.651446384139	0.702463682175	0.0	0.593495738437	0.659232469845	0.646259813771	0.695418964562	0.663208945591
PC.354	0.747074972881	0.714827318262	0.608705744295	0.593495738437	0.0	0.582323482304	0.59640366753	0.734749744596	0.781108177158
PC.593	0.739488664119	0.753218448959	0.7166633259	0.659232469845	0.582323482304	0.0	0.66212177811	0.719077808809	0.76291778472
PC.355	0.699815934726	0.741300602012	0.613232987959	0.646259813771	0.59640366753	0.66212177811	0.0	0.774612786574	0.752950885096
PC.607	0.727777055922	0.669322342553	0.747038102466	0.695418964562	0.734749744596	0.719077808809	0.774612786574	0.0	0.736312005406
PC.634	0.581124366673	0.55275125175	0.787671876753	0.663208945591	0.781108177158	0.76291778472	0.752950885096	0.736312005406	0.0
