pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.257041212645	0.157442648662	0.0314887521949	-0.202976306992	0.107617184218	-0.25758723687	-0.0238884723869	0.0163894836606	2.5484041724e-09
PC.635	-0.278992296528	0.00643397749976	-0.084488936932	0.117552111491	-0.173317045436	0.0286970432059	-0.210614046775	-0.148724603225	2.5484041724e-09
PC.356	0.233028500485	0.112585040897	-0.34108222139	-0.00129537381494	-0.118874604142	-0.0540564652784	0.171628089534	-0.0438053257511	2.5484041724e-09
PC.481	0.0231266369981	-0.0088570478472	0.162931470553	0.296942795157	0.17282780683	-0.0672877419519	0.118672891457	-0.103828889538	2.5484041724e-09
PC.354	0.289504127847	-0.00699910821682	0.0690373254524	0.126593269219	-0.093585240061	-0.0940922469418	-0.13779057781	0.221707278023	2.5484041724e-09
PC.593	0.212344317599	-0.1447020521	0.278390261411	-0.195774767672	-0.162040563437	0.0234902988541	0.0569177845153	-0.109973238791	2.5484041724e-09
PC.355	0.229887933447	0.209126302708	-0.0283224863154	-0.0959400661185	0.211387849706	0.203775394345	-0.118642140662	-0.0319315451564	2.5484041724e-09
PC.607	-0.0946710987729	-0.438775364464	-0.166733931709	-0.0574230014827	0.136812090224	0.0338510809779	-0.00466999637683	0.0507913360294	2.5484041724e-09
PC.634	-0.35718690843	0.11374560286	0.078779766736	0.012321340214	-0.080827477902	0.183209873659	0.148386468505	0.149375504748	2.5484041724e-09


eigvals	0.517040325595	0.307766786927	0.268089576639	0.210201909985	0.190571672476	0.160265756447	0.146810580066	0.122247622835	-5.84492744332e-17
% variation explained	26.88725308	16.0045611147	13.9412574579	10.9309693497	9.91015310431	8.33417770403	7.6344784452	6.35714974418	3.03949296841e-15
