pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.24837409484	0.0822665054872	0.0800420380916	-0.0603580042144	-0.00827710416895	0.00938333578461	0.0402857899858	-0.0119862594527	1.64100346848e-09
PC.635	-0.114752050266	-0.0326121519154	-0.104848474925	-0.0228429751405	-0.0656109907619	-0.0482898039639	-0.00315936992884	-0.00479601879715	1.64100346848e-09
PC.356	0.183281437593	0.0162902398589	0.00280546325438	-0.028548756585	-0.0410457991789	0.0338203062232	0.00100156617001	0.0549613472944	1.64100346848e-09
PC.481	0.178134405899	0.00956567665796	-0.0140776314925	0.0454449644719	0.0454425654193	-0.0367597154877	0.0577952081117	0.00713890684755	1.64100346848e-09
PC.354	0.260696134297	0.0355955885455	0.0129132558922	0.019033718721	-0.041141426089	0.0270009539238	-0.00680305929539	-0.0502472399547	1.64100346848e-09
PC.593	-0.0735177828547	-0.132397899591	0.116439123539	0.0502078856557	-0.0172201233529	-0.0241082515462	-0.0244543708429	0.0076478643496	1.64100346848e-09
PC.355	0.0878097680263	0.0970987986759	0.010473768448	-0.0501552215111	0.0596462472151	-0.0311977624022	-0.0506549304047	0.000230390326012	1.64100346848e-09
PC.607	-0.0452410686864	-0.179573713278	-0.0521988745114	-0.035967456828	0.0526202555881	0.0386430890225	0.00215120908193	-0.0104143736294	1.64100346848e-09
PC.634	-0.228036749169	0.103766955559	-0.0515486682958	0.0831858454304	0.0155863753291	0.031507848446	-0.0161620428776	0.00746538301634	1.64100346848e-09


eigvals	0.275307083421	0.0794269304731	0.0368224900856	0.0206573697903	0.0166817477341	0.00968463448029	0.00845027488248	0.00598590505291	2.42360314522e-17
% variation explained	60.7719856481	17.5329026003	8.12829009412	4.55996033529	3.68237141337	2.13781084138	1.86533516501	1.3213439024	5.3499232104e-15
