pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.242370964542	0.132683033724	0.116939514206	-0.184606505622	0.0123886658394	0.25333096922	0.037538737961	-0.103548194481	7.51888256301e-09
PC.635	-0.262505142305	0.0926427766123	-0.151639826161	0.0715297096623	-0.0307755476898	-0.151093249902	-0.170815584627	-0.182688281659	7.51888256301e-09
PC.356	0.250424527785	0.082606607543	-0.265541477549	-0.0263085932379	-0.203067263321	0.0111385748581	0.181709890602	-0.0255019560172	7.51888256301e-09
PC.481	0.00542609827786	-0.103847498229	0.0298046203855	0.31319800632	0.179486961804	0.0663972480587	0.138340023489	-0.0600518282363	7.51888256301e-09
PC.354	0.294494132425	0.0696206069034	-0.0333231244464	0.0919030985829	-0.0140399706804	0.159400902908	-0.239170404854	0.113933565411	7.51888256301e-09
PC.593	0.154761128381	-0.273556949851	0.300848417705	-0.0218479167	-0.178551527213	-0.0774780178023	-0.0201275964729	-0.0706664554256	7.51888256301e-09
PC.355	0.25676644789	0.254430771757	0.117365148409	-0.133110165149	0.19797707918	-0.173161882016	0.0370250736527	0.0149966295195	7.51888256301e-09
PC.607	-0.0886855500113	-0.360861595301	-0.193698921181	-0.183732330118	0.140223703705	-0.0161302966086	-0.0174501411973	0.0810608884686	7.51888256301e-09
PC.634	-0.368310677901	0.106282246841	0.0792456486307	0.0729746962621	-0.103642101623	-0.0724042487165	0.0529500014472	0.232465632421	7.51888256301e-09


eigvals	0.510519212738	0.329728084286	0.257264002569	0.203705897008	0.176229561104	0.158437502706	0.144830236098	0.127164450714	5.08802354967e-16
% variation explained	26.7584698432	17.2824426186	13.4842937988	10.6770871026	9.23693619875	8.3043792132	7.59116485399	6.66522637083	2.66684820705e-14
