	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_49_7.biom	49	7	4.06153195971	5.05328586444	4.57060250822	5.23195703795	3.84183708078	4.09166514038	4.41530372303	4.94084147659	4.51234224348
alpha_rarefaction_49_8.biom	49	8	4.23586243984	5.16573025228	4.66309371181	4.91339294663	4.1932509777	4.27033631389	4.34367566172	4.75216571133	4.37534135527
alpha_rarefaction_49_9.biom	49	9	4.691013417	5.10410678271	4.96164861963	4.94624275223	3.84026901157	4.21833465253	4.55519664083	4.8725766201	4.57349453782
alpha_rarefaction_62_0.biom	62	0	4.24691572526	5.43218779464	5.20799207641	5.24493552892	4.09332116737	4.24097196386	4.43132089455	4.98057489141	4.85357000462
alpha_rarefaction_62_1.biom	62	1	4.52459886928	5.46605659254	4.88193169946	5.27250820544	4.29650678137	4.42994641581	4.77260952061	4.97402050501	4.77058214933
alpha_rarefaction_62_2.biom	62	2	4.09780100755	5.38775412525	5.03224051267	5.07105296358	4.76523894248	4.39379198161	4.5576951359	5.2120025615	4.83869212557
alpha_rarefaction_62_3.biom	62	3	4.42782467573	5.34919993935	5.14347594738	5.2481569957	4.49317900687	4.16898762832	4.34471718169	5.2909799317	4.89758703612
alpha_rarefaction_62_4.biom	62	4	4.15637337518	4.98031662639	5.2909799317	5.29888678647	4.71959409355	4.20619200841	4.87526319765	5.05861909369	4.54638643111
alpha_rarefaction_62_5.biom	62	5	4.22844399901	5.06449857718	5.27250820544	4.9756312384	4.11298698912	4.395402715	4.59445820516	5.01912907731	4.87563557808
alpha_rarefaction_62_6.biom	62	6	4.20616733547	5.49831465706	5.05071223892	5.24654626231	4.37641179614	3.99155906335	4.27283047453	4.81865392339	4.82026465678
alpha_rarefaction_62_7.biom	62	7	4.36928239899	5.28041506021	5.14909716586	4.93614122202	4.13842973966	4.1004118304	4.74035145609	5.03291541557	4.73041723005
alpha_rarefaction_62_8.biom	62	8	4.18286340905	5.14977206876	5.02661929419	5.18993698804	4.31362603925	4.17850521648	4.80055457756	5.06881158475	4.71101233588
alpha_rarefaction_62_9.biom	62	9	4.64285810218	5.4459741329	5.04483275543	5.12381012562	4.253586217	4.54274832645	4.62443063339	4.88478078581	4.76768787798
alpha_rarefaction_75_0.biom	75	0	4.5723009444	5.30666856438	5.14236611109	5.24029915066	4.67376281739	4.56304598374	4.85290603183	5.24816702354	4.92029915066
alpha_rarefaction_75_1.biom	75	1	4.53418202325	5.44542019047	5.1477866049	5.15677031724	4.63031773784	4.53196226607	4.73976001436	5.19514152469	5.31840969133
alpha_rarefaction_75_2.biom	75	2	4.41091385661	5.53195652374	5.26176102366	5.47862319041	4.41397690465	4.28796764727	4.61115206003	5.18210544431	4.82757090477
alpha_rarefaction_75_3.biom	75	3	4.5726063671	5.37195652374	5.04055981745	5.345076358	4.48769285768	4.44478730694	4.87492802561	5.1064078976	5.00775822062
alpha_rarefaction_75_4.biom	75	4	4.52498261077	5.58340039774	5.4523009444	5.49389315078	4.15251723271	4.26327065253	4.53368185275	5.30150035687	4.83457302343
alpha_rarefaction_75_5.biom	75	5	4.43445165869	5.60055981745	5.00444288628	5.45716131742	4.42533702478	4.37325045248	4.71517811086	5.0066401801	4.95110955295
alpha_rarefaction_75_6.biom	75	6	4.4795726985	5.46202169044	5.23896761106	5.45062498414	4.73772143821	4.15814902455	4.71411705281	5.18528985708	4.82016881727
alpha_rarefaction_75_7.biom	75	7	4.3343213253	5.32791693829	5.22313973096	5.61716131742	4.38402718053	4.54297339958	4.4542945539	5.22757090477	4.75205906104
alpha_rarefaction_75_8.biom	75	8	4.97872267996	5.42042948405	5.29849285702	5.31896761106	4.72865751326	4.41663998385	4.57742772653	5.27483369021	4.9508390714
alpha_rarefaction_75_9.biom	75	9	4.67755805992	5.46369765069	5.14666856438	5.14236611109	4.39833472753	4.22619439852	4.49970523294	4.92108689334	5.01148235788
alpha_rarefaction_88_0.biom	88	0	4.66411983546	5.80987185206	5.31987849435	5.31591809042	4.64344909167	4.46543865983	4.79481506473	5.06639546609	4.8885358123
alpha_rarefaction_88_1.biom	88	1	4.50998048235	5.48010423833	5.40899341525	5.34260576707	4.68747320642	4.74480914325	4.81082472751	5.30170259765	5.17749980102
alpha_rarefaction_88_2.biom	88	2	4.65674047519	5.77790697715	5.13296507371	5.74029284006	4.71757947971	4.34946961014	4.872363335	5.5057037688	4.9581945703
alpha_rarefaction_88_3.biom	88	3	4.46216124337	5.59421610173	5.38457728427	5.34450964206	4.42772214252	4.43433246269	4.84055111404	5.13619965542	4.8226236639
alpha_rarefaction_88_4.biom	88	4	4.63702073095	5.71199482874	5.34722363022	5.34590683589	4.56389649468	4.35900075265	4.68806623402	5.26302011278	5.1609695447
alpha_rarefaction_88_5.biom	88	5	4.19897083596	5.57544923293	5.48915800517	5.35392920369	4.45492468289	4.56954575686	4.73023320242	5.28970778944	5.20449652531
alpha_rarefaction_88_6.biom	88	6	4.58706808578	5.66078758526	5.45180622701	5.37280765338	4.69814123931	4.33359521811	5.08358318163	5.13344244939	4.79606495134
alpha_rarefaction_88_7.biom	88	7	4.55245960127	5.5413181241	5.44766386364	5.64777341449	4.6798147575	4.54923893195	4.77361383573	5.03347771574	4.99492461558
alpha_rarefaction_88_8.biom	88	8	4.64236282139	5.64777341449	5.23968206954	5.3778717108	4.50064158728	4.26056642807	5.05084926661	5.47086663614	4.91472819078
alpha_rarefaction_88_9.biom	88	9	4.70850361794	5.5413181241	5.43956109634	5.63267153339	4.93816577842	4.26339199711	5.01738952937	5.06082472751	5.02765853059
alpha_rarefaction_101_0.biom	101	0	4.55222651764	5.85201423557	5.38511175188	5.49624864675	4.66493196665	4.792771098	4.94147951393	5.50602951402	5.12445043898
alpha_rarefaction_101_1.biom	101	1	4.83473796522	5.64856625056	5.48449527044	5.5774341016	4.74743372305	4.58422360653	4.83499547926	5.36626834668	5.11634390574
alpha_rarefaction_101_2.biom	101	2	4.78646804765	5.73665300335	5.61340170616	5.54693592872	4.6323793568	4.32311862503	4.8542246237	5.21333861749	5.13062211836
alpha_rarefaction_101_3.biom	101	3	4.6797270866	5.77322061161	5.36603975671	5.44556136478	4.68775515322	4.59205743356	5.07815815497	5.32765315331	5.10360176239
alpha_rarefaction_101_4.biom	101	4	4.67813574556	5.7839168043	5.78635151829	5.40516948999	4.63031415512	4.49426005515	4.66056916166	5.43893097053	5.11912449996
alpha_rarefaction_101_5.biom	101	5	4.4659473072	5.81586092414	5.5620715374	5.53377948854	4.97858924295	4.62556315618	5.03448839614	5.40001933998	5.01502727116
alpha_rarefaction_101_6.biom	101	6	4.35307349041	5.89040083897	5.49819901286	5.43445087526	4.8407645175	4.49018527802	4.78156163337	5.37836760323	4.94661795516
alpha_rarefaction_101_7.biom	101	7	4.61458323556	5.85948836926	5.62639960742	5.68778308208	4.61051217493	4.53657104225	5.11352565633	5.36281769771	5.04748932148
alpha_rarefaction_101_8.biom	101	8	4.71138268618	5.64955501759	5.51761386418	5.5264009394	4.65531629777	4.30345796846	4.76712324738	5.23620248332	5.20630594858
alpha_rarefaction_101_9.biom	101	9	4.51693139282	5.69362556193	5.51965981483	5.60816086445	4.50928579647	4.64934081249	4.87783161941	5.32017901963	4.83611222669
alpha_rarefaction_114_0.biom	114	0	4.59719803366	5.75974355427	5.67807650108	5.75241169901	4.65070833912	4.61456966246	4.97937768233	5.41300046409	5.05629870083
alpha_rarefaction_114_1.biom	114	1	4.65852078465	5.81288409366	5.82038192675	5.61391095078	4.83498028302	4.5418021985	4.91616704653	5.52900879529	5.1777886197
alpha_rarefaction_114_2.biom	114	2	4.56907651146	5.81506523467	5.53010074949	5.73470186153	4.66886342006	4.50817945358	5.20247523054	5.40354808252	5.04305506044
alpha_rarefaction_114_3.biom	114	3	4.66690690295	5.84047397987	5.60238184772	5.73201320814	4.57098666162	4.50237677148	4.92584602064	5.54514505982	5.15644921812
alpha_rarefaction_114_4.biom	114	4	4.60598436829	5.88625714609	5.66322274288	5.67997527419	4.47872917452	4.56447539897	5.03490188542	5.39695191887	5.06644914691
alpha_rarefaction_114_5.biom	114	5	4.65169802847	5.82578475144	5.66201571793	5.67575490015	4.85768559629	4.62549022678	4.9026424863	5.46101449771	5.22668955453
alpha_rarefaction_114_6.biom	114	6	4.68645808252	5.73843250565	5.6298963407	5.77207463691	5.00285470054	4.63587923594	4.96112537431	5.39458059154	5.09825311976
alpha_rarefaction_114_7.biom	114	7	4.75995911986	5.81290816351	5.54118731872	5.53815473911	4.73162819347	4.58806111981	5.17412449034	5.50389170932	5.1631734246
alpha_rarefaction_114_8.biom	114	8	4.86137824749	5.88947882976	5.70295366405	5.59276493638	4.71820928393	4.54842880626	5.10198376388	5.4600523522	5.06534495478
alpha_rarefaction_114_9.biom	114	9	4.58478366076	5.84149045269	5.67206174449	5.70422079925	4.70361960674	4.75196429689	4.97257763608	5.43054432374	5.08614957327
alpha_rarefaction_127_0.biom	127	0	4.6493603055	5.96625577786	5.77931728684	5.69919950258	4.81037536454	4.6925269654	5.1073878829	5.6249239347	5.20270750327
alpha_rarefaction_127_1.biom	127	1	4.80760194943	5.97077607735	5.72741847049	5.77504730221	4.84991754573	4.53275031756	4.9946948007	5.52159984461	5.15015761403
alpha_rarefaction_127_2.biom	127	2	4.66468614712	5.96574450568	5.68736991674	5.74390277819	4.94858691396	4.6412884092	5.03889403306	5.53160727805	5.10206072215
alpha_rarefaction_127_3.biom	127	3	4.71740560915	5.88672927809	5.73031037553	5.79597504632	4.77414141818	4.64065048652	5.02104298366	5.59040988454	5.2078102942
alpha_rarefaction_127_4.biom	127	4	4.55634032496	5.98632071082	5.65751421413	5.763307451	4.78009468375	4.68090315826	5.10068057482	5.51309199937	5.13519495335
alpha_rarefaction_127_5.biom	127	5	4.60226617707	6.01329647432	5.77903387649	5.78567048395	4.98937749284	4.65659162363	4.92343245583	5.58365794017	5.11944404863
alpha_rarefaction_127_6.biom	127	6	4.76981846727	5.97605981328	5.69552080244	5.65175201006	4.76253014366	4.67020128833	5.02154448208	5.52000412976	5.25186438326
alpha_rarefaction_127_7.biom	127	7	4.5833423928	5.94293665567	5.72450210166	5.68731151042	4.80213388035	4.63567519311	5.08255712744	5.50554009427	5.16669198781
alpha_rarefaction_127_8.biom	127	8	4.91916006621	5.9185004112	5.74096720833	5.6756853226	4.92808013729	4.67450230005	5.12696360251	5.49449669913	5.16137075613
alpha_rarefaction_127_9.biom	127	9	4.79752952527	6.04852649452	5.66947952218	5.67294110571	4.62811484764	4.67671748345	4.89945007582	5.56326210278	5.09816438676
alpha_rarefaction_140_0.biom	140	0	4.80560734422	6.02326737486	5.77963551559	5.78806537938	4.83589396277	4.74213770671	5.20224875311	5.58404699249	5.24734576483
alpha_rarefaction_140_1.biom	140	1	4.84773684113	6.01716199649	5.74448734595	5.84525002842	4.95137130674	4.6674863402	5.10142602156	5.63345241887	5.21469455774
alpha_rarefaction_140_2.biom	140	2	4.79524835008	5.97548197532	5.78306454009	5.81433192226	4.79670669916	4.62562092671	5.09343291602	5.60929783734	5.27191611976
alpha_rarefaction_140_3.biom	140	3	4.80427317382	5.98319851433	5.79801304234	5.82351690275	4.92627581431	4.66701797863	5.04077541042	5.66071157238	5.19311313031
alpha_rarefaction_140_4.biom	140	4	4.81316683452	6.06172507476	5.84076555814	5.78924250107	4.9131869168	4.69329971015	5.17586536456	5.54732498596	5.25711648251
alpha_rarefaction_140_5.biom	140	5	4.75385424507	5.97287820406	5.69949022873	5.77964754953	4.93946172206	4.65287167977	5.0636226542	5.52972217563	5.2609169752
alpha_rarefaction_140_6.biom	140	6	4.84234478755	6.02444449655	5.72629315113	5.81082274936	4.97703292346	4.70939598691	5.03727380331	5.5443890835	5.19744243672
alpha_rarefaction_140_7.biom	140	7	4.75985821835	6.03358768513	5.79158917866	5.82001529563	4.80367184927	4.69676652889	5.10687092052	5.59643877263	5.27008720242
alpha_rarefaction_140_8.biom	140	8	4.82165132164	6.0028762822	5.82072862042	5.77011314666	4.94141648877	4.67396121451	5.09012799143	5.54717736582	5.21730471565
alpha_rarefaction_140_9.biom	140	9	4.81855888811	6.087508221	5.79872636712	5.87685926721	4.98768658623	4.72174661405	5.13128356781	5.51860593725	5.21552633514
