	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_75_5.biom	75	5	40.0	55.0	44.0	51.0	36.0	32.0	39.0	44.0	41.0
alpha_rarefaction_75_6.biom	75	6	40.0	54.0	46.0	52.0	42.0	29.0	38.0	46.0	39.0
alpha_rarefaction_75_7.biom	75	7	37.0	50.0	48.0	57.0	39.0	35.0	35.0	47.0	38.0
alpha_rarefaction_75_8.biom	75	8	46.0	51.0	52.0	49.0	40.0	33.0	37.0	48.0	42.0
alpha_rarefaction_75_9.biom	75	9	39.0	53.0	47.0	45.0	36.0	29.0	36.0	44.0	42.0
alpha_rarefaction_88_0.biom	88	0	43.0	65.0	53.0	51.0	42.0	35.0	44.0	48.0	44.0
alpha_rarefaction_88_1.biom	88	1	41.0	56.0	56.0	53.0	43.0	39.0	43.0	55.0	48.0
alpha_rarefaction_88_2.biom	88	2	45.0	64.0	51.0	63.0	43.0	32.0	43.0	58.0	45.0
alpha_rarefaction_88_3.biom	88	3	45.0	59.0	55.0	53.0	41.0	34.0	43.0	50.0	43.0
alpha_rarefaction_88_4.biom	88	4	43.0	61.0	55.0	54.0	44.0	33.0	40.0	54.0	51.0
alpha_rarefaction_88_5.biom	88	5	39.0	58.0	58.0	52.0	41.0	38.0	43.0	53.0	51.0
alpha_rarefaction_88_6.biom	88	6	44.0	61.0	57.0	53.0	42.0	31.0	45.0	50.0	42.0
alpha_rarefaction_88_7.biom	88	7	47.0	57.0	56.0	59.0	43.0	36.0	43.0	49.0	45.0
alpha_rarefaction_88_8.biom	88	8	45.0	60.0	52.0	53.0	42.0	33.0	46.0	56.0	46.0
alpha_rarefaction_88_9.biom	88	9	48.0	57.0	58.0	63.0	49.0	31.0	47.0	50.0	47.0
alpha_rarefaction_101_0.biom	101	0	48.0	71.0	58.0	60.0	48.0	43.0	49.0	61.0	49.0
alpha_rarefaction_101_1.biom	101	1	52.0	63.0	61.0	62.0	48.0	39.0	47.0	58.0	50.0
alpha_rarefaction_101_2.biom	101	2	47.0	66.0	63.0	61.0	46.0	33.0	47.0	55.0	49.0
alpha_rarefaction_101_3.biom	101	3	51.0	68.0	59.0	59.0	49.0	37.0	51.0	56.0	50.0
alpha_rarefaction_101_4.biom	101	4	46.0	69.0	68.0	58.0	48.0	37.0	42.0	58.0	52.0
alpha_rarefaction_101_5.biom	101	5	46.0	69.0	63.0	61.0	53.0	39.0	50.0	59.0	49.0
alpha_rarefaction_101_6.biom	101	6	44.0	70.0	62.0	57.0	50.0	39.0	46.0	59.0	47.0
alpha_rarefaction_101_7.biom	101	7	48.0	71.0	64.0	65.0	47.0	37.0	51.0	57.0	51.0
alpha_rarefaction_101_8.biom	101	8	50.0	64.0	63.0	62.0	47.0	35.0	47.0	56.0	51.0
alpha_rarefaction_101_9.biom	101	9	45.0	66.0	62.0	64.0	44.0	39.0	46.0	57.0	45.0
alpha_rarefaction_114_0.biom	114	0	50.0	70.0	71.0	70.0	48.0	41.0	52.0	63.0	51.0
alpha_rarefaction_114_1.biom	114	1	54.0	71.0	74.0	66.0	52.0	39.0	52.0	65.0	55.0
alpha_rarefaction_114_2.biom	114	2	49.0	72.0	63.0	71.0	50.0	39.0	57.0	63.0	51.0
alpha_rarefaction_114_3.biom	114	3	52.0	74.0	66.0	70.0	47.0	39.0	52.0	66.0	57.0
alpha_rarefaction_114_4.biom	114	4	50.0	75.0	69.0	68.0	46.0	40.0	53.0	62.0	53.0
alpha_rarefaction_114_5.biom	114	5	52.0	73.0	70.0	69.0	54.0	41.0	52.0	64.0	56.0
alpha_rarefaction_114_6.biom	114	6	52.0	70.0	68.0	71.0	56.0	42.0	53.0	63.0	52.0
alpha_rarefaction_114_7.biom	114	7	52.0	71.0	65.0	65.0	51.0	42.0	57.0	65.0	55.0
alpha_rarefaction_114_8.biom	114	8	56.0	76.0	69.0	66.0	49.0	41.0	56.0	64.0	52.0
alpha_rarefaction_114_9.biom	114	9	49.0	73.0	69.0	68.0	50.0	45.0	53.0	64.0	54.0
alpha_rarefaction_127_0.biom	127	0	54.0	81.0	79.0	72.0	57.0	45.0	59.0	72.0	57.0
alpha_rarefaction_127_1.biom	127	1	57.0	81.0	74.0	75.0	57.0	43.0	55.0	70.0	56.0
alpha_rarefaction_127_2.biom	127	2	55.0	80.0	72.0	73.0	59.0	44.0	56.0	70.0	54.0
alpha_rarefaction_127_3.biom	127	3	55.0	78.0	74.0	74.0	57.0	43.0	55.0	70.0	58.0
alpha_rarefaction_127_4.biom	127	4	51.0	81.0	72.0	75.0	55.0	43.0	57.0	68.0	55.0
alpha_rarefaction_127_5.biom	127	5	52.0	82.0	75.0	74.0	60.0	46.0	54.0	70.0	57.0
alpha_rarefaction_127_6.biom	127	6	57.0	81.0	74.0	70.0	55.0	45.0	57.0	69.0	58.0
alpha_rarefaction_127_7.biom	127	7	56.0	79.0	75.0	71.0	56.0	44.0	56.0	70.0	56.0
alpha_rarefaction_127_8.biom	127	8	60.0	78.0	74.0	73.0	58.0	45.0	57.0	69.0	56.0
alpha_rarefaction_127_9.biom	127	9	59.0	83.0	74.0	71.0	54.0	45.0	55.0	71.0	55.0
alpha_rarefaction_140_0.biom	140	0	59.0	86.0	80.0	78.0	61.0	48.0	62.0	73.0	61.0
alpha_rarefaction_140_1.biom	140	1	62.0	87.0	78.0	80.0	62.0	46.0	60.0	75.0	61.0
alpha_rarefaction_140_2.biom	140	2	61.0	85.0	80.0	79.0	59.0	45.0	59.0	75.0	62.0
alpha_rarefaction_140_3.biom	140	3	60.0	85.0	80.0	79.0	61.0	45.0	59.0	76.0	60.0
alpha_rarefaction_140_4.biom	140	4	61.0	87.0	81.0	78.0	62.0	47.0	61.0	73.0	61.0
alpha_rarefaction_140_5.biom	140	5	60.0	85.0	77.0	78.0	63.0	46.0	60.0	73.0	61.0
alpha_rarefaction_140_6.biom	140	6	61.0	87.0	78.0	79.0	63.0	47.0	59.0	73.0	60.0
alpha_rarefaction_140_7.biom	140	7	59.0	86.0	80.0	79.0	59.0	47.0	61.0	74.0	61.0
alpha_rarefaction_140_8.biom	140	8	61.0	86.0	80.0	77.0	62.0	46.0	59.0	74.0	61.0
alpha_rarefaction_140_9.biom	140	9	61.0	88.0	80.0	81.0	63.0	48.0	61.0	72.0	60.0
