Taxon	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
Root;k__Bacteria;Other	0.0202702702703	0.0402684563758	0.0266666666667	0.027397260274	0.0134228187919	0.0201342281879	0.0136054421769	0.0268456375839	0.02
Root;k__Bacteria;p__Actinobacteria	0.00675675675676	0.00671140939597	0.0	0.00684931506849	0.0	0.0	0.0	0.0201342281879	0.02
Root;k__Bacteria;p__Bacteroidetes	0.695945945946	0.523489932886	0.193333333333	0.143835616438	0.0671140939597	0.389261744966	0.285714285714	0.275167785235	0.653333333333
Root;k__Bacteria;p__Deferribacteres	0.0472972972973	0.0134228187919	0.0	0.0	0.0	0.0	0.0	0.0201342281879	0.0333333333333
Root;k__Bacteria;p__Firmicutes	0.209459459459	0.402684563758	0.773333333333	0.787671232877	0.906040268456	0.409395973154	0.700680272109	0.476510067114	0.22
Root;k__Bacteria;p__Proteobacteria	0.00675675675676	0.00671140939597	0.0	0.0	0.0	0.0335570469799	0.0	0.0201342281879	0.0133333333333
Root;k__Bacteria;p__TM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0133333333333
Root;k__Bacteria;p__Tenericutes	0.0135135135135	0.00671140939597	0.00666666666667	0.0342465753425	0.0134228187919	0.147651006711	0.0	0.161073825503	0.0266666666667
