	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.591580676339	0.755897952145	0.666605630035	0.741904445131	0.711864428338	0.714486013313	0.720489843954	0.566747877074
PC.635	0.591580676339	0.0	0.693559474288	0.663214594532	0.687463143014	0.759017601813	0.728428871237	0.684285631223	0.57481805552
PC.356	0.755897952145	0.693559474288	0.0	0.677139659168	0.600756333516	0.717782802459	0.598145455761	0.729944933688	0.807094604294
PC.481	0.666605630035	0.663214594532	0.677139659168	0.0	0.558178900679	0.64439599313	0.637683822993	0.691824662952	0.701447416636
PC.354	0.741904445131	0.687463143014	0.600756333516	0.558178900679	0.0	0.57204016277	0.593960608456	0.728194974198	0.785314583067
PC.593	0.711864428338	0.759017601813	0.717782802459	0.64439599313	0.57204016277	0.0	0.661068756784	0.699005683518	0.767510211736
PC.355	0.714486013313	0.728428871237	0.598145455761	0.637683822993	0.593960608456	0.661068756784	0.0	0.778417606419	0.74081046183
PC.607	0.720489843954	0.684285631223	0.729944933688	0.691824662952	0.728194974198	0.699005683518	0.778417606419	0.0	0.738449199934
PC.634	0.566747877074	0.57481805552	0.807094604294	0.701447416636	0.785314583067	0.767510211736	0.74081046183	0.738449199934	0.0
