	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.600210072891	0.761950973327	0.644702960558	0.770145969657	0.733438594083	0.692218225795	0.743158530119	0.613957806692
PC.635	0.600210072891	0.0	0.738918573021	0.651726779558	0.708715219644	0.718779702381	0.73809115674	0.645355375676	0.576314023782
PC.356	0.761950973327	0.738918573021	0.0	0.709953107959	0.673733647353	0.743380658672	0.663051287184	0.76000428087	0.816121859438
PC.481	0.644702960558	0.651726779558	0.709953107959	0.0	0.653406167233	0.619151305828	0.61652081147	0.688039634628	0.683172139096
PC.354	0.770145969657	0.708715219644	0.673733647353	0.653406167233	0.0	0.638417841756	0.590094215184	0.775389620052	0.796356120004
PC.593	0.733438594083	0.718779702381	0.743380658672	0.619151305828	0.638417841756	0.0	0.668303741237	0.706041456752	0.758903530455
PC.355	0.692218225795	0.73809115674	0.663051287184	0.61652081147	0.590094215184	0.668303741237	0.0	0.793518390677	0.742230754789
PC.607	0.743158530119	0.645355375676	0.76000428087	0.688039634628	0.775389620052	0.706041456752	0.793518390677	0.0	0.718157709107
PC.634	0.613957806692	0.576314023782	0.816121859438	0.683172139096	0.796356120004	0.758903530455	0.742230754789	0.718157709107	0.0
