	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.639039605208	0.741732075899	0.696708436595	0.73219100919	0.726982129954	0.680371515303	0.748188446023	0.563657417808
PC.635	0.639039605208	0.0	0.751637897151	0.668002386892	0.705618805883	0.774949360385	0.733391016699	0.673803623191	0.617409611573
PC.356	0.741732075899	0.751637897151	0.0	0.70424905498	0.610355130325	0.72846891319	0.653010006765	0.744121414441	0.761901045922
PC.481	0.696708436595	0.668002386892	0.70424905498	0.0	0.663335791938	0.653021498785	0.668878272937	0.707325678022	0.664867415897
PC.354	0.73219100919	0.705618805883	0.610355130325	0.663335791938	0.0	0.647832955581	0.595425593319	0.777638964207	0.784358220094
PC.593	0.726982129954	0.774949360385	0.72846891319	0.653021498785	0.647832955581	0.0	0.691127973361	0.707284633202	0.739588957
PC.355	0.680371515303	0.733391016699	0.653010006765	0.668878272937	0.595425593319	0.691127973361	0.0	0.797819832881	0.754290665908
PC.607	0.748188446023	0.673803623191	0.744121414441	0.707325678022	0.777638964207	0.707284633202	0.797819832881	0.0	0.7172208814
PC.634	0.563657417808	0.617409611573	0.761901045922	0.664867415897	0.784358220094	0.739588957	0.754290665908	0.7172208814	0.0
