	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.614355901817	0.766413958563	0.646863375793	0.774426400414	0.765738367239	0.710712211283	0.716397651221	0.568066927951
PC.635	0.614355901817	0.0	0.755973507591	0.710716587881	0.720666968088	0.768946973917	0.761233826636	0.679904146361	0.538104236822
PC.356	0.766413958563	0.755973507591	0.0	0.702655093184	0.631541913978	0.735678348069	0.656206503456	0.777435485524	0.79778525827
PC.481	0.646863375793	0.710716587881	0.702655093184	0.0	0.617626429173	0.668423612183	0.612079199237	0.702156105428	0.674974350409
PC.354	0.774426400414	0.720666968088	0.631541913978	0.617626429173	0.0	0.63999337686	0.608402935882	0.759522557857	0.784313333561
PC.593	0.765738367239	0.768946973917	0.735678348069	0.668423612183	0.63999337686	0.0	0.707309467993	0.720653851403	0.776423092551
PC.355	0.710712211283	0.761233826636	0.656206503456	0.612079199237	0.608402935882	0.707309467993	0.0	0.808560838324	0.763452810966
PC.607	0.716397651221	0.679904146361	0.777435485524	0.702156105428	0.759522557857	0.720653851403	0.808560838324	0.0	0.720554734285
PC.634	0.568066927951	0.538104236822	0.79778525827	0.674974350409	0.784313333561	0.776423092551	0.763452810966	0.720554734285	0.0
