	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.619028358173	0.742281768122	0.756360593612	0.740676722297	0.721867048827	0.70464897884	0.73384326419	0.628303832746
PC.635	0.619028358173	0.0	0.731269349845	0.683884169073	0.729351794448	0.734696437117	0.749977649268	0.659639719345	0.558264881262
PC.356	0.742281768122	0.731269349845	0.0	0.703229925162	0.620686187179	0.723781985009	0.642319943582	0.762245594688	0.81766631205
PC.481	0.756360593612	0.683884169073	0.703229925162	0.0	0.635684702359	0.680913273708	0.698554246909	0.68710903437	0.687001357233
PC.354	0.740676722297	0.729351794448	0.620686187179	0.635684702359	0.0	0.602973100874	0.594098896881	0.729762173464	0.784758634824
PC.593	0.721867048827	0.734696437117	0.723781985009	0.680913273708	0.602973100874	0.0	0.686634108076	0.699135338827	0.756568896854
PC.355	0.70464897884	0.749977649268	0.642319943582	0.698554246909	0.594098896881	0.686634108076	0.0	0.78169942976	0.761897176278
PC.607	0.73384326419	0.659639719345	0.762245594688	0.68710903437	0.729762173464	0.699135338827	0.78169942976	0.0	0.733651158934
PC.634	0.628303832746	0.558264881262	0.81766631205	0.687001357233	0.784758634824	0.756568896854	0.761897176278	0.733651158934	0.0
