	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.595689521175	0.740715825216	0.669082049065	0.724310030028	0.730312963494	0.704985867179	0.699827100238	0.563059576003
PC.635	0.595689521175	0.0	0.700520408515	0.635492375972	0.717311459063	0.764323932704	0.738343650767	0.665843426908	0.546457995132
PC.356	0.740715825216	0.700520408515	0.0	0.670640967953	0.569478407744	0.7127787186	0.636368508072	0.714993646908	0.782381158064
PC.481	0.669082049065	0.635492375972	0.670640967953	0.0	0.620882802422	0.641045293575	0.687037532737	0.651415853427	0.660508277252
PC.354	0.724310030028	0.717311459063	0.569478407744	0.620882802422	0.0	0.653558456335	0.59206232326	0.733952214128	0.784111381372
PC.593	0.730312963494	0.764323932704	0.7127787186	0.641045293575	0.653558456335	0.0	0.704808699256	0.68270166723	0.760820352144
PC.355	0.704985867179	0.738343650767	0.636368508072	0.687037532737	0.59206232326	0.704808699256	0.0	0.795343727785	0.777988474486
PC.607	0.699827100238	0.665843426908	0.714993646908	0.651415853427	0.733952214128	0.68270166723	0.795343727785	0.0	0.726173314196
PC.634	0.563059576003	0.546457995132	0.782381158064	0.660508277252	0.784111381372	0.760820352144	0.777988474486	0.726173314196	0.0
