	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.581553042596	0.767693329803	0.665334391527	0.75393382891	0.732401713861	0.718959171786	0.726895397026	0.552863921812
PC.635	0.581553042596	0.0	0.719328611628	0.661562378806	0.705837689067	0.731984756463	0.723959097685	0.668601372847	0.583156977757
PC.356	0.767693329803	0.719328611628	0.0	0.717269279584	0.654674435512	0.723031831393	0.647226442286	0.749041821408	0.816807911059
PC.481	0.665334391527	0.661562378806	0.717269279584	0.0	0.633072703966	0.650529877307	0.633813294277	0.724541804738	0.638660988058
PC.354	0.75393382891	0.705837689067	0.654674435512	0.633072703966	0.0	0.638735321914	0.564297237632	0.754973662679	0.769162516134
PC.593	0.732401713861	0.731984756463	0.723031831393	0.650529877307	0.638735321914	0.0	0.664791343135	0.711737466808	0.744619527897
PC.355	0.718959171786	0.723959097685	0.647226442286	0.633813294277	0.564297237632	0.664791343135	0.0	0.770574811355	0.745894942423
PC.607	0.726895397026	0.668601372847	0.749041821408	0.724541804738	0.754973662679	0.711737466808	0.770574811355	0.0	0.729912667961
PC.634	0.552863921812	0.583156977757	0.816807911059	0.638660988058	0.769162516134	0.744619527897	0.745894942423	0.729912667961	0.0
