	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.633090430704	0.794353066968	0.689492001327	0.771843704954	0.734204831694	0.727029972604	0.715391292391	0.562604021852
PC.635	0.633090430704	0.0	0.713733014668	0.667743532465	0.688798930438	0.725792848422	0.75206337936	0.676856814803	0.577423756827
PC.356	0.794353066968	0.713733014668	0.0	0.719722321796	0.65529183808	0.725411761077	0.660789080207	0.779844297813	0.788013327213
PC.481	0.689492001327	0.667743532465	0.719722321796	0.0	0.602819222797	0.640397973854	0.65671998394	0.703564643471	0.649346308253
PC.354	0.771843704954	0.688798930438	0.65529183808	0.602819222797	0.0	0.597580656545	0.6400239177	0.748890442677	0.768000911701
PC.593	0.734204831694	0.725792848422	0.725411761077	0.640397973854	0.597580656545	0.0	0.706857872603	0.709340416439	0.74347458947
PC.355	0.727029972604	0.75206337936	0.660789080207	0.65671998394	0.6400239177	0.706857872603	0.0	0.815825624292	0.75607112521
PC.607	0.715391292391	0.676856814803	0.779844297813	0.703564643471	0.748890442677	0.709340416439	0.815825624292	0.0	0.72038734149
PC.634	0.562604021852	0.577423756827	0.788013327213	0.649346308253	0.768000911701	0.74347458947	0.75607112521	0.72038734149	0.0
